GLITTER! 4.4 [trunk]: Laser Ablation Analysis Results

Z:\2013\tretiakova_irina\RUN2.B
Created: Wed Dec 04 16:38:55 2013

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STDGJ-03,STDGJ-04,610-02,91500-02,MT-02,INT1-13,INT1-14C,INT1-14R,INT1-15,INT1-16,INT1-17,INT1-18C,INT1-18R,INT1-19,INT1-20,INT1-21C,INT1-21RI,INT1-22C,INT1-22R,STDGJ-05,STDGJ-06
P31,43.82,44.25,342.50,22.09,46.34,113.79,44.74,32.32,156.36,157.90,36558.80,267.07,202.38,455.90,198.36,188.04,126.16,85.72,126.93,49.03,44.65
Ca43,<40.53,<43.22,81905.35,<43.04,<38.60,<28.35,131.82,<37.98,<50.08,28.66,**********,<42.77,<40.72,1065.92,<36.43,238.19,118.67,84.72,642.63,<43.31,<43.83
Ti49,6.44,5.75,476.00,5.45,3.11,9.69,22.78,4.13,14.79,17.32,**********,6.47,6.71,8.17,7.20,6103.14,17.20,9.39,65.12,5.78,5.02
Y89,271.32,270.75,490.00,140.59,277.28,1493.34,2313.36,590.23,674.88,714.16,360301.38,1272.73,809.10,1149.48,1296.41,1064.57,696.56,369.66,1052.49,269.34,269.20
Zr91,597361.44,596498.63,490.00,488604.00,488604.03,488604.00,488604.00,488603.97,488604.00,488603.97,488603.97,488604.00,488604.00,488604.00,488604.00,488604.00,488604.03,488604.00,488604.00,598649.19,598060.69
Zr92,338540.84,338172.50,490.00,277474.06,276714.13,274883.06,276752.84,277999.50,277544.38,276285.00,280115.22,278227.81,277520.09,276498.91,277512.56,277416.38,276817.06,278103.38,277308.88,340382.78,340542.25
Nb93,1.961,1.892,512.00,0.990,8.62,3.59,52.59,3.44,2.76,4.94,163061.22,4.42,5.27,4.40,4.08,24.74,13.45,4.05,38.90,1.819,1.931
La139,<0.0078,0.0051,440.00,0.0052,<0.0074,0.354,5.26,0.395,0.0184,0.0193,173757.23,0.480,0.236,4.40,0.0188,10.53,7.90,0.503,8.49,<0.0063,<0.0074
Ce140,20.40,20.08,446.00,2.404,2.835,8.00,132.89,37.99,6.06,9.09,618810.13,17.30,14.12,50.08,14.84,44.93,46.71,8.74,56.38,19.96,20.22
Pr141,0.0377,0.0503,468.00,0.0153,0.0361,0.516,4.88,0.217,0.0779,0.094,97558.83,0.283,0.1025,1.404,0.0861,3.29,3.69,0.517,8.69,0.0503,0.0412
Nd146,0.829,0.894,454.00,0.220,0.608,7.35,29.80,1.52,1.254,1.12,450353.81,4.04,1.512,7.68,1.697,17.24,20.53,3.34,46.95,0.841,0.844
Sm147,1.89,1.728,463.00,0.442,1.319,10.37,16.29,1.70,2.49,2.50,99428.96,6.60,3.11,5.35,3.56,10.99,9.06,2.42,20.28,1.83,1.93
Eu151,1.075,1.078,452.00,0.198,1.082,1.007,4.97,0.503,0.182,0.138,18423.41,1.003,0.443,2.408,0.781,2.482,2.88,0.700,9.46,1.103,1.122
Gd157,7.64,7.53,450.00,2.138,9.32,42.71,41.68,5.77,15.04,13.18,84417.44,31.60,16.74,23.35,19.76,35.67,19.67,7.26,38.31,7.95,7.51
Tb159,2.093,2.046,442.00,0.795,2.909,12.39,11.71,2.071,4.78,4.35,12476.03,9.63,5.47,7.41,7.02,9.57,5.25,2.245,9.53,2.053,2.071
Dy163,21.57,21.48,453.00,10.95,33.84,142.58,147.43,30.83,60.21,61.25,76505.63,117.19,71.66,91.41,97.97,104.98,60.50,27.81,99.78,21.97,21.70
Ho165,7.32,7.48,475.00,4.53,10.95,50.68,63.13,14.93,22.62,23.13,14561.94,43.55,27.18,34.72,40.17,35.44,22.04,11.24,34.05,7.39,7.31
Er166,32.06,31.63,463.00,24.66,39.39,220.10,351.00,93.38,101.25,109.96,37677.63,188.90,124.74,165.50,200.86,150.33,101.98,58.24,147.44,32.17,31.77
Tm169,6.85,6.75,454.00,6.16,6.55,43.81,89.52,25.38,20.08,24.57,4831.34,36.59,25.64,37.18,44.49,29.42,22.08,13.96,30.78,6.65,6.73
Yb173,65.09,63.96,479.00,64.94,49.32,392.60,993.70,300.35,183.23,226.88,28015.69,322.00,230.10,370.29,435.80,260.29,209.61,156.61,296.18,64.62,64.70
Lu175,13.53,13.42,467.00,13.06,8.05,70.11,231.17,73.02,35.35,43.26,3211.50,60.33,43.98,78.35,91.35,49.10,41.39,41.16,62.90,13.35,13.43
Hf177,7776.18,7742.25,458.00,5584.53,10262.14,9261.91,10057.67,11199.07,10501.76,10166.63,18433.54,8626.38,9881.33,8930.98,9357.08,9813.31,11848.61,12963.43,13006.30,7759.50,7752.15
Hf178,7801.40,7801.40,458.00,5629.75,10334.09,9153.00,10067.87,11339.13,10639.95,10115.69,18450.81,8723.89,9968.48,9040.46,9433.87,9910.75,11836.09,12957.16,13014.79,7801.40,7801.40
Ta181,0.486,0.510,490.60,0.417,7.38,0.581,2.180,0.304,0.862,1.742,13010.85,1.552,2.092,0.859,1.401,1.773,2.065,0.585,4.45,0.535,0.471
Pb204,<1.93,<1.90,419.10,<1.78,<1.65,<1.14,<1.41,<1.69,<2.11,<1.11,<196.62,<1.36,<1.66,<1.65,<1.40,3.33,<1.73,<1.66,4.84,<2.15,<1.94
Pb206,104.46,102.89,419.10,54.60,46.44,176.68,148.49,78.64,79.28,159.04,533.74,216.71,305.45,56.84,116.55,218.80,393.00,339.17,963.22,103.95,103.47
Pb207,6.93,6.76,419.10,4.42,3.07,23.63,9.12,4.75,9.42,20.10,91.02,41.83,55.60,3.32,6.95,27.61,48.96,77.79,175.59,6.76,6.72
