GLITTER! 4.4 [trunk]: Laser Ablation Analysis Results

Z:\2013\tretiakova_irina\RUN3.B
Created: Wed Dec 04 18:19:03 2013

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STDGJ-05,STDGJ-06,610-03,91500-03,INT1-23,INT1-23R,INT1-24C,INT1-24R,INT1-25C,INT1-25R,INT1-26,INT1-27,INT1-28,INT1-29,INT1-30,INT1-31,INT1-32,INT1-33,INT1-34,STDGJ-07,STDGJ-08
P31,52.08,46.82,342.50,16.50,360.46,191.43,685.85,195.23,236.25,97.17,66.03,154.10,194.86,171.20,157.43,192.19,54920.29,159.01,163.05,50.98,46.54
Ca43,<43.08,<44.25,81905.36,<39.36,268.04,<39.14,5050.68,297.85,161.07,<35.50,39.73,122.06,177.18,67.11,<34.60,409.81,**********,178.17,211.29,<48.37,<44.67
Ti49,5.78,5.04,476.00,4.86,28.45,11.47,1381.65,353.43,19.90,13.35,6.83,11.88,36.11,9.90,15.76,59.50,**********,177.51,8.37,5.66,5.78
Y89,269.84,269.45,490.00,136.13,808.09,434.93,2055.66,1079.02,448.63,268.67,714.88,805.32,809.26,1826.98,799.51,856.39,387642.94,774.38,1032.48,269.68,270.18
Zr91,609065.44,609335.38,490.00,488604.00,488604.00,488603.97,488604.00,488604.00,488604.00,488604.03,488604.03,488604.00,488604.00,488604.00,488604.00,488603.97,488604.03,488604.03,488604.00,611543.44,612695.56
Zr92,345279.81,345531.31,490.00,276067.91,276269.50,276297.66,275950.44,275365.47,275697.38,276707.72,275912.63,276578.84,276289.75,276422.63,276218.31,275982.28,268129.56,275919.91,276154.44,346336.91,346241.00
Nb93,1.892,1.930,512.00,0.986,19.82,2.271,371.82,116.00,10.64,3.00,5.30,17.61,14.40,6.17,4.24,25.70,388694.66,4.47,5.50,1.954,2.091
La139,<0.0063,<0.0075,440.00,<0.0083,26.12,0.425,46.48,12.58,1.799,0.426,4.56,2.046,1.828,0.258,0.146,4.33,1090126.63,3.96,1.527,<0.0096,<0.0066
Ce140,20.17,20.23,446.00,2.315,86.75,17.53,209.91,68.73,24.18,16.44,46.59,23.54,16.49,45.48,8.76,28.99,2750455.00,14.73,15.79,20.41,20.39
Pr141,0.0502,0.0426,468.00,0.0139,13.42,0.403,35.43,10.32,1.612,0.369,1.305,1.600,0.785,0.315,0.161,1.906,296004.28,1.531,0.884,0.0520,0.0399
Nd146,0.842,0.835,454.00,0.249,66.29,3.07,164.42,54.46,8.65,2.44,7.02,11.16,4.79,4.40,2.14,10.03,932853.44,7.54,5.72,0.776,0.906
Sm147,1.83,1.96,463.00,0.394,19.97,4.20,63.73,24.50,4.88,2.24,2.48,7.56,4.42,6.93,3.34,5.21,112632.45,4.16,4.81,1.650,1.94
Eu151,1.107,1.146,452.00,0.213,18.97,0.495,12.59,5.59,1.703,0.888,4.84,2.111,0.497,1.772,0.240,0.696,21368.34,0.810,0.855,1.146,1.138
Gd157,8.09,7.48,450.00,2.080,26.42,16.29,104.51,44.85,14.36,7.97,7.86,22.03,18.88,36.17,16.68,17.82,74155.29,13.67,19.82,8.03,7.87
Tb159,2.083,2.072,442.00,0.763,6.10,4.34,23.49,10.47,3.88,2.256,2.836,5.83,5.71,11.76,5.59,6.01,10010.64,4.51,6.78,2.081,2.066
Dy163,22.09,21.88,453.00,10.83,69.51,43.95,225.40,106.77,40.46,24.26,42.65,66.44,73.00,152.56,70.92,76.14,61643.66,59.29,87.32,21.80,21.97
Ho165,7.42,7.41,475.00,4.48,25.89,14.04,68.20,34.45,13.76,8.21,19.96,24.35,27.43,59.00,26.61,28.72,12884.72,24.09,33.59,7.42,7.47
Er166,32.44,32.27,463.00,23.71,127.22,56.43,270.88,146.82,58.07,35.10,115.72,113.45,120.53,281.84,121.37,131.55,38020.96,118.21,156.59,31.64,32.30
Tm169,6.70,6.79,454.00,5.93,30.82,10.75,52.09,30.20,11.99,7.41,30.17,26.13,25.11,60.57,25.13,27.35,5920.39,25.76,33.01,6.71,6.73
Yb173,65.81,65.49,479.00,63.23,320.78,95.09,462.56,272.51,112.87,69.23,326.62,269.11,229.50,584.43,230.58,245.94,42063.54,248.45,303.68,64.80,66.49
Lu175,13.38,13.49,467.00,12.63,65.82,17.67,83.16,52.38,22.71,13.73,73.30,59.89,43.62,116.22,44.60,45.98,5903.22,49.90,58.88,13.55,13.60
Hf177,7801.40,7801.40,458.00,5595.98,13344.48,13029.17,9720.39,11197.72,10502.13,10288.39,10492.09,10545.84,10161.83,8978.63,9700.69,10803.67,17369.97,11642.15,10432.68,7801.40,7801.40
Hf178,7835.58,7842.85,458.00,5609.40,13332.59,12963.75,9753.09,11233.70,10495.55,10352.10,10531.53,10586.33,10106.05,9063.26,9785.06,10872.27,17940.29,11638.14,10516.96,7832.05,7820.54
Ta181,0.536,0.477,490.60,0.411,2.721,0.490,12.36,4.72,1.868,0.712,1.016,1.207,0.948,1.674,1.400,3.93,30007.03,0.621,1.581,0.524,0.551
Pb204,<2.19,<2.00,419.10,<1.50,<2.00,<1.65,4.55,1.77,<1.65,<1.60,<1.49,<1.43,<1.29,<1.74,<1.49,<1.66,612.66,<1.73,<1.79,<2.29,<2.02
Pb206,104.77,104.65,419.10,52.69,1149.67,186.59,523.63,600.30,544.06,171.30,46.69,52.39,128.46,63.35,162.29,280.67,7102.22,73.42,142.58,105.17,105.26
Pb207,6.86,6.81,419.10,4.40,206.50,24.48,71.41,81.53,79.24,31.12,3.10,3.39,16.04,4.68,20.47,35.49,711.78,5.39,8.77,6.93,6.94
Pb208,0.980,0.931,419.10,2.655,11.65,24.88,34.37,31.27,20.17,12.64,6.77,6.56,11.23,9.45,11.30,17.01,7107.45,3.99,7.50,0.956,0.922
Th232,18.35,18.11,481.00,29.01,53.77,146.89,415.89,288.96,116.34,65.68,168.84,161.88,78.76,277.50,68.14,119.38,175891.02,56.58,178.70,18.20,18.58
U238,288.67,289.71,487.00,79.64,702.58,134.14,583.52,545.11,417.29,102.82,183.76,178.79,105.99,251.21,130.38,248.05,25309.41,149.20,484.94,289.72,291.88

GLITTER!: 1 sigma error.
Element,STDGJ-05,STDGJ-06,610-03,91500-03,INT1-23,INT1-23R,INT1-24C,INT1-24R,INT1-25C,INT1-25R,INT1-26,INT1-27,INT1-28,INT1-29,INT1-30,INT1-31,INT1-32,INT1-33,INT1-34,STDGJ-07,STDGJ-08
P31,3.22,3.06,12.27,2.16,12.75,7.04,24.23,7.61,8.51,4.04,3.16,5.95,7.54,6.43,5.97,7.33,2062.77,6.09,6.16,3.25,3.19
Ca43,16.64,16.72,2555.62,14.58,23.98,14.57,188.60,30.02,18.36,13.86,14.54,18.52,24.36,15.77,14.23,30.83,1699081.25,21.50,20.23,18.53,17.33
Ti49,0.42,0.38,15.66,0.33,1.22,0.62,45.09,12.07,0.91,0.65,0.44,0.70,1.74,0.56,0.78,2.42,3706127.00,6.07,0.53,0.42,0.41
Y89,8.17,8.16,15.09,4.17,24.69,13.29,62.80,32.98,13.71,8.21,21.84,24.61,24.74,55.80,24.43,26.17,11867.03,23.66,31.54,8.17,8.18
Zr91,18670.61,18678.75,15.40,15124.08,15124.16,15124.12,15124.53,15124.45,15124.13,15124.10,15124.13,15124.21,15124.40,15124.13,15124.14,15124.30,15190.70,15124.18,15124.15,18746.76,18781.98
Zr92,10479.81,10487.37,15.18,8462.51,8468.73,8469.57,8459.13,8441.15,8451.18,8482.13,8457.78,8478.24,8469.46,8473.41,8467.15,8459.99,8249.89,8458.02,8465.20,10512.00,10509.03
Nb93,0.070,0.071,15.77,0.040,0.62,0.081,11.39,3.58,0.34,0.10,0.18,0.56,0.47,0.20,0.14,0.81,11901.13,0.15,0.18,0.073,0.077
La139,0.0030,0.0033,13.55,0.0027,0.81,0.021,1.45,0.41,0.065,0.020,0.15,0.075,0.076,0.015,0.011,0.15,33361.40,0.13,0.057,0.0038,0.0023
Ce140,0.62,0.62,13.73,0.078,2.66,0.54,6.44,2.12,0.75,0.51,1.43,0.73,0.53,1.40,0.28,0.90,84161.91,0.46,0.49,0.63,0.63
Pr141,0.0055,0.0053,14.40,0.0025,0.42,0.019,1.11,0.34,0.057,0.017,0.048,0.060,0.039,0.016,0.011,0.072,9057.42,0.057,0.035,0.0062,0.0058
Nd146,0.058,0.061,14.11,0.028,2.09,0.13,5.19,1.79,0.31,0.11,0.26,0.41,0.24,0.18,0.11,0.39,28734.67,0.29,0.23,0.058,0.062
Sm147,0.10,0.10,14.40,0.037,0.68,0.18,2.12,0.88,0.20,0.11,0.12,0.30,0.23,0.26,0.15,0.24,3488.30,0.19,0.20,0.096,0.10
Eu151,0.048,0.049,13.94,0.015,0.60,0.027,0.43,0.21,0.067,0.039,0.16,0.084,0.037,0.069,0.018,0.041,659.50,0.040,0.041,0.050,0.049
Gd157,0.30,0.27,13.98,0.097,0.87,0.55,3.35,1.50,0.49,0.28,0.29,0.74,0.69,1.16,0.56,0.63,2298.82,0.48,0.66,0.30,0.29
Tb159,0.070,0.070,13.60,0.029,0.19,0.14,0.74,0.34,0.13,0.075,0.094,0.19,0.19,0.37,0.18,0.20,308.46,0.15,0.22,0.071,0.070
Dy163,0.70,0.69,14.01,0.36,2.16,1.38,6.99,3.35,1.27,0.77,1.34,2.08,2.31,4.70,2.21,2.39,1901.90,1.85,2.71,0.70,0.70
