GLITTER! 4.4 [trunk]: Laser Ablation Analysis Results;;;;

Z:\2013\tretiakova_irina\RUN4.B;;;;
Created: Wed Dec 04 20:02:37 2013;;;;

GLITTER!: Isotope ratios.;;;;
Analysis_#;Pb207/Pb206;Pb206/U238;Pb207/U235;Pb208/Th232
STDGJ-07;0.06023009;0.09768652;0.81117648;0.0319346
STDGJ-08;0.06023022;0.09756062;0.81013072;0.02963333
610-04;0.91795248;0.23261261;29.43872261;0.52917367
91500-04;0.07588055;0.17756175;1.85756671;0.05509407
INT1-35;0.05591814;0.06089099;0.46942955;0.02044878
INT2-01;0.11247832;0.3338429;5.17700768;0.09503458
INT2-02;0.11168011;0.33359912;5.13700056;0.08542246
INT2-03;0.18385829;0.51385707;13.02418423;0.13973019
INT2-04;0.11540873;0.33280069;5.2953105;0.09952312
INT2-05;0.05713838;0.08036897;0.63304847;0.0264909
INT2-06;0.11511456;0.33271149;5.28034306;0.09435288
INT2-07;0.1514342;0.42633954;8.9004879;0.10002673
INT2-08;0.06818251;0.09997316;0.93976551;0.02738062
INT2-09C;0.05497244;0.05948197;0.45080668;0.01779495
INT2-09R;0.05383626;0.0563283;0.41807088;0.01376718
INT2-10;0.17937024;0.48978382;12.11128712;0.12799101
INT2-11;0.12159556;0.34821829;5.83740377;0.1039528
INT2-12;0.05693299;0.08152818;0.63992387;0.0265804
INT2-13;0.1159955;0.34151149;5.46056604;0.09774176
INT2-14;0.11538436;0.3123807;4.96930408;0.09330571
STDGJ-09;0.05950226;0.09753358;0.80012286;0.03057252
STDGJ-10;0.06070474;0.09767725;0.81749368;0.03096477

GLITTER!: Isotopic ratios: 1 sigma uncertainty.;;;;
Analysis_#;Pb207/Pb206;Pb206/U238;Pb207/U235;Pb208/Th232
STDGJ-07;0.001083;0.001179;0.01459117;0.00104124
STDGJ-08;0.00106811;0.00117632;0.01440507;0.00096207
610-04;0.01240277;0.00269977;0.41120513;0.01110654
91500-04;0.00151692;0.0022882;0.03684847;0.00147119
INT1-35;0.00136867;0.00081047;0.01127488;0.00053818
INT2-01;0.00166892;0.00393533;0.07851086;0.00214415
INT2-02;0.00363021;0.00609949;0.16063486;0.00349935
INT2-03;0.00458575;0.0081776;0.31324014;0.00498043
INT2-04;0.00188057;0.00405957;0.08701488;0.0023465
INT2-05;0.00162037;0.00113167;0.01747628;0.00113653
INT2-06;0.00178306;0.00394848;0.08356902;0.00243705
INT2-07;0.00421755;0.00659065;0.24280446;0.00511662
INT2-08;0.00187624;0.0014835;0.02525483;0.00115137
INT2-09C;0.00209712;0.00100209;0.01659399;0.00077223
INT2-09R;0.00190171;0.00090754;0.01427143;0.00061244
INT2-10;0.00437771;0.00712275;0.28901926;0.00559951
INT2-11;0.00269646;0.00468153;0.12754891;0.00412887
INT2-12;0.00162462;0.00115814;0.01776151;0.00100172
INT2-13;0.00269918;0.00478169;0.12470795;0.00396447
INT2-14;0.00216822;0.00395944;0.09317321;0.00292294
STDGJ-09;0.00126124;0.00124167;0.01676968;0.00121863
STDGJ-10;0.00129115;0.00124608;0.01718672;0.00124138

GLITTER!: Age estimates (ma).;;;;
Analysis_#;Pb207/Pb206;Pb206/U238;Pb207/U235;Pb208/Th232
STDGJ-07;611.8;600.8;603.1;635.4
STDGJ-08;611.9;600.1;602.5;590.3
610-04;5116.8;1348.2;3468.3;8584.7
91500-04;1091.9;1053.6;1066.1;1084
INT1-35;448.8;381;390.8;409.1
INT2-01;1839.8;1857;1848.8;1835
INT2-02;1826.9;1855.8;1842.2;1656.8
INT2-03;2688;2673.1;2681.4;2643.6
INT2-04;1886.3;1851.9;1868.1;1917.7
INT2-05;496.3;498.3;498;528.5
INT2-06;1881.7;1851.5;1865.7;1822.4
INT2-07;2362.2;2289.2;2327.9;1926.9
INT2-08;874.1;614.3;672.8;546
INT2-09C;411.1;372.5;377.8;356.5
INT2-09R;364.1;353.3;354.7;276.4
INT2-10;2647.1;2569.7;2613.1;2434.3
INT2-11;1979.7;1926.1;1952;1998.9
INT2-12;488.3;505.2;502.3;530.2
INT2-13;1895.4;1893.9;1894.4;1884.9
INT2-14;1885.9;1752.4;1814.1;1803
STDGJ-09;585.5;599.9;596.9;608.7
STDGJ-10;628.8;600.8;606.6;616.4

GLITTER!: Age estimates: 1 sigma uncertainty (ma).;;;;
Analysis_#;Pb207/Pb206;Pb206/U238;Pb207/U235;Pb208/Th232
STDGJ-07;38.38;6.92;8.18;20.39
STDGJ-08;37.86;6.91;8.08;18.89
610-04;18.95;14.12;13.72;146.8
91500-04;39.53;12.53;13.09;28.18
INT1-35;53.32;4.92;7.79;10.66
